Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
Comunitat Valenciana;Other causes;October;Men;Not specified;10
Comunitat Valenciana;Other causes;October;Women;Total;1.737
Comunitat Valenciana;Other causes;October;Women;Hospital centre;793
Comunitat Valenciana;Other causes;October;Women;Home;718
Comunitat Valenciana;Other causes;October;Women;Health care home;200
Comunitat Valenciana;Other causes;October;Women;Other place;23
Comunitat Valenciana;Other causes;October;Women;Not specified;3
Comunitat Valenciana;Other causes;November;Total;Total;3.459
Comunitat Valenciana;Other causes;November;Total;Hospital centre;1.570
Comunitat Valenciana;Other causes;November;Total;Home;1.438
Comunitat Valenciana;Other causes;November;Total;Health care home;254
Comunitat Valenciana;Other causes;November;Total;Other place;178
Comunitat Valenciana;Other causes;November;Total;Not specified;19
Comunitat Valenciana;Other causes;November;Men;Total;1.785
Comunitat Valenciana;Other causes;November;Men;Hospital centre;860
Comunitat Valenciana;Other causes;November;Men;Home;696
Comunitat Valenciana;Other causes;November;Men;Health care home;91
Comunitat Valenciana;Other causes;November;Men;Other place;127
Comunitat Valenciana;Other causes;November;Men;Not specified;11
Comunitat Valenciana;Other causes;November;Women;Total;1.674
Comunitat Valenciana;Other causes;November;Women;Hospital centre;710
Comunitat Valenciana;Other causes;November;Women;Home;742
Comunitat Valenciana;Other causes;November;Women;Health care home;163
Comunitat Valenciana;Other causes;November;Women;Other place;51
Comunitat Valenciana;Other causes;November;Women;Not specified;8
Comunitat Valenciana;Other causes;December;Total;Total;4.014
Comunitat Valenciana;Other causes;December;Total;Hospital centre;1.934
Comunitat Valenciana;Other causes;December;Total;Home;1.514
Comunitat Valenciana;Other causes;December;Total;Health care home;325
Comunitat Valenciana;Other causes;December;Total;Other place;229
Comunitat Valenciana;Other causes;December;Total;Not specified;12
Comunitat Valenciana;Other causes;December;Men;Total;2.060
Comunitat Valenciana;Other causes;December;Men;Hospital centre;1.033
Comunitat Valenciana;Other causes;December;Men;Home;750
Comunitat Valenciana;Other causes;December;Men;Health care home;104
Comunitat Valenciana;Other causes;December;Men;Other place;165
Comunitat Valenciana;Other causes;December;Men;Not specified;8
Comunitat Valenciana;Other causes;December;Women;Total;1.954
Comunitat Valenciana;Other causes;December;Women;Hospital centre;901
Comunitat Valenciana;Other causes;December;Women;Home;764
Comunitat Valenciana;Other causes;December;Women;Health care home;221
Comunitat Valenciana;Other causes;December;Women;Other place;64
Comunitat Valenciana;Other causes;December;Women;Not specified;4
Extremadura;Total;Total;Total;Total;12.994
Extremadura;Total;Total;Total;Hospital centre;6.729
Extremadura;Total;Total;Total;Home;3.617
Extremadura;Total;Total;Total;Health care home;2.110
Extremadura;Total;Total;Total;Other place;249
Extremadura;Total;Total;Total;Not specified;289
Extremadura;Total;Total;Men;Total;6.586
Extremadura;Total;Total;Men;Hospital centre;3.613
Extremadura;Total;Total;Men;Home;1.830
Extremadura;Total;Total;Men;Health care home;807
Extremadura;Total;Total;Men;Other place;193
Extremadura;Total;Total;Men;Not specified;143
Extremadura;Total;Total;Women;Total;6.408
Extremadura;Total;Total;Women;Hospital centre;3.116
Extremadura;Total;Total;Women;Home;1.787
Extremadura;Total;Total;Women;Health care home;1.303
Extremadura;Total;Total;Women;Other place;56
Extremadura;Total;Total;Women;Not specified;146
Extremadura;Total;January;Total;Total;1.201
Extremadura;Total;January;Total;Hospital centre;689
Extremadura;Total;January;Total;Home;322
Extremadura;Total;January;Total;Health care home;153
Extremadura;Total;January;Total;Other place;20
Extremadura;Total;January;Total;Not specified;17
Extremadura;Total;January;Men;Total;623
Extremadura;Total;January;Men;Hospital centre;367
Extremadura;Total;January;Men;Home;171
Extremadura;Total;January;Men;Health care home;63
Extremadura;Total;January;Men;Other place;14
Extremadura;Total;January;Men;Not specified;8
Extremadura;Total;January;Women;Total;578
Extremadura;Total;January;Women;Hospital centre;322
Extremadura;Total;January;Women;Home;151
Extremadura;Total;January;Women;Health care home;90
Extremadura;Total;January;Women;Other place;6
Extremadura;Total;January;Women;Not specified;9
Extremadura;Total;February;Total;Total;996
Extremadura;Total;February;Total;Hospital centre;510
Extremadura;Total;February;Total;Home;269
Extremadura;Total;February;Total;Health care home;170
Extremadura;Total;February;Total;Other place;27
Extremadura;Total;February;Total;Not specified;20
Extremadura;Total;February;Men;Total;478
Extremadura;Total;February;Men;Hospital centre;265
Extremadura;Total;February;Men;Home;131
Extremadura;Total;February;Men;Health care home;54
Extremadura;Total;February;Men;Other place;21
Extremadura;Total;February;Men;Not specified;7
Extremadura;Total;February;Women;Total;518
Extremadura;Total;February;Women;Hospital centre;245
Extremadura;Total;February;Women;Home;138
Extremadura;Total;February;Women;Health care home;116
Extremadura;Total;February;Women;Other place;6
Extremadura;Total;February;Women;Not specified;13
Extremadura;Total;March;Total;Total;1.299
Extremadura;Total;March;Total;Hospital centre;650
Extremadura;Total;March;Total;Home;337
Extremadura;Total;March;Total;Health care home;251
Extremadura;Total;March;Total;Other place;29
Extremadura;Total;March;Total;Not specified;32
Extremadura;Total;March;Men;Total;677
Extremadura;Total;March;Men;Hospital centre;364
Extremadura;Total;March;Men;Home;173
Extremadura;Total;March;Men;Health care home;107
Extremadura;Total;March;Men;Other place;20
Extremadura;Total;March;Men;Not specified;13
Extremadura;Total;March;Women;Total;622
Extremadura;Total;March;Women;Hospital centre;286
Extremadura;Total;March;Women;Home;164
Extremadura;Total;March;Women;Health care home;144
Extremadura;Total;March;Women;Other place;9
Extremadura;Total;March;Women;Not specified;19
Extremadura;Total;April;Total;Total;1.380
Extremadura;Total;April;Total;Hospital centre;582
Extremadura;Total;April;Total;Home;342
Extremadura;Total;April;Total;Health care home;408
Extremadura;Total;April;Total;Other place;16
Extremadura;Total;April;Total;Not specified;32
Extremadura;Total;April;Men;Total;665
Extremadura;Total;April;Men;Hospital centre;313
Extremadura;Total;April;Men;Home;161
Extremadura;Total;April;Men;Health care home;160
Extremadura;Total;April;Men;Other place;12
Extremadura;Total;April;Men;Not specified;19
Extremadura;Total;April;Women;Total;715
Extremadura;Total;April;Women;Hospital centre;269
Extremadura;Total;April;Women;Home;181
Extremadura;Total;April;Women;Health care home;248
Extremadura;Total;April;Women;Other place;4
Extremadura;Total;April;Women;Not specified;13
Extremadura;Total;May;Total;Total;1.017
Extremadura;Total;May;Total;Hospital centre;493
Extremadura;Total;May;Total;Home;299
Extremadura;Total;May;Total;Health care home;185
Extremadura;Total;May;Total;Other place;23
Extremadura;Total;May;Total;Not specified;17
Extremadura;Total;May;Men;Total;509
Extremadura;Total;May;Men;Hospital centre;271
Extremadura;Total;May;Men;Home;140
Extremadura;Total;May;Men;Health care home;69
Extremadura;Total;May;Men;Other place;20
Extremadura;Total;May;Men;Not specified;9
Extremadura;Total;May;Women;Total;508
Extremadura;Total;May;Women;Hospital centre;222
Extremadura;Total;May;Women;Home;159
Extremadura;Total;May;Women;Health care home;116
Extremadura;Total;May;Women;Other place;3
Extremadura;Total;May;Women;Not specified;8
Extremadura;Total;June;Total;Total;874
Extremadura;Total;June;Total;Hospital centre;428
Extremadura;Total;June;Total;Home;266
Extremadura;Total;June;Total;Health care home;143
Extremadura;Total;June;Total;Other place;16
Extremadura;Total;June;Total;Not specified;21
Extremadura;Total;June;Men;Total;457
Extremadura;Total;June;Men;Hospital centre;215
Extremadura;Total;June;Men;Home;153
Extremadura;Total;June;Men;Health care home;61
Extremadura;Total;June;Men;Other place;15
Extremadura;Total;June;Men;Not specified;13
Extremadura;Total;June;Women;Total;417
Extremadura;Total;June;Women;Hospital centre;213
Extremadura;Total;June;Women;Home;113
Extremadura;Total;June;Women;Health care home;82
Extremadura;Total;June;Women;Other place;1
Extremadura;Total;June;Women;Not specified;8
Extremadura;Total;July;Total;Total;1.064
Extremadura;Total;July;Total;Hospital centre;501
Extremadura;Total;July;Total;Home;363
Extremadura;Total;July;Total;Health care home;166
Extremadura;Total;July;Total;Other place;16
Extremadura;Total;July;Total;Not specified;18
Extremadura;Total;July;Men;Total;514
Extremadura;Total;July;Men;Hospital centre;266
Extremadura;Total;July;Men;Home;171
Extremadura;Total;July;Men;Health care home;47
Extremadura;Total;July;Men;Other place;15
Extremadura;Total;July;Men;Not specified;15
Extremadura;Total;July;Women;Total;550
Extremadura;Total;July;Women;Hospital centre;235
Extremadura;Total;July;Women;Home;192
Extremadura;Total;July;Women;Health care home;119
Extremadura;Total;July;Women;Other place;1
Extremadura;Total;July;Women;Not specified;3
Extremadura;Total;August;Total;Total;1.017
Extremadura;Total;August;Total;Hospital centre;528
Extremadura;Total;August;Total;Home;294
Extremadura;Total;August;Total;Health care home;148
Extremadura;Total;August;Total;Other place;19
Extremadura;Total;August;Total;Not specified;28
Extremadura;Total;August;Men;Total;507
Extremadura;Total;August;Men;Hospital centre;272
Extremadura;Total;August;Men;Home;154
Extremadura;Total;August;Men;Health care home;54
Extremadura;Total;August;Men;Other place;16
Extremadura;Total;August;Men;Not specified;11
Extremadura;Total;August;Women;Total;510
Extremadura;Total;August;Women;Hospital centre;256
Extremadura;Total;August;Women;Home;140
Extremadura;Total;August;Women;Health care home;94
Extremadura;Total;August;Women;Other place;3
Extremadura;Total;August;Women;Not specified;17
Extremadura;Total;September;Total;Total;872
Extremadura;Total;September;Total;Hospital centre;491
Extremadura;Total;September;Total;Home;247
Extremadura;Total;September;Total;Health care home;105
Extremadura;Total;September;Total;Other place;9
Extremadura;Total;September;Total;Not specified;20
Extremadura;Total;September;Men;Total;453
Extremadura;Total;September;Men;Hospital centre;260
Extremadura;Total;September;Men;Home;131
Extremadura;Total;September;Men;Health care home;48
Extremadura;Total;September;Men;Other place;5
Extremadura;Total;September;Men;Not specified;9
Extremadura;Total;September;Women;Total;419
Extremadura;Total;September;Women;Hospital centre;231
Extremadura;Total;September;Women;Home;116
Extremadura;Total;September;Women;Health care home;57
Extremadura;Total;September;Women;Other place;4
Extremadura;Total;September;Women;Not specified;11
Extremadura;Total;October;Total;Total;1.095
Extremadura;Total;October;Total;Hospital centre;615
Extremadura;Total;October;Total;Home;295
Extremadura;Total;October;Total;Health care home;138
Extremadura;Total;October;Total;Other place;18
Extremadura;Total;October;Total;Not specified;29
Extremadura;Total;October;Men;Total;565
Extremadura;Total;October;Men;Hospital centre;338
Extremadura;Total;October;Men;Home;151
Extremadura;Total;October;Men;Health care home;52
Extremadura;Total;October;Men;Other place;8
Extremadura;Total;October;Men;Not specified;16
Extremadura;Total;October;Women;Total;530
Extremadura;Total;October;Women;Hospital centre;277
Extremadura;Total;October;Women;Home;144
Extremadura;Total;October;Women;Health care home;86
Extremadura;Total;October;Women;Other place;10
Extremadura;Total;October;Women;Not specified;13
Extremadura;Total;November;Total;Total;1.094
Extremadura;Total;November;Total;Hospital centre;642
Extremadura;Total;November;Total;Home;282
Extremadura;Total;November;Total;Health care home;120
Extremadura;Total;November;Total;Other place;24
Extremadura;Total;November;Total;Not specified;26
Extremadura;Total;November;Men;Total;568
Extremadura;Total;November;Men;Hospital centre;360
Extremadura;Total;November;Men;Home;138
Extremadura;Total;November;Men;Health care home;38
Extremadura;Total;November;Men;Other place;21
Extremadura;Total;November;Men;Not specified;11
Extremadura;Total;November;Women;Total;526
Extremadura;Total;November;Women;Hospital centre;282
Extremadura;Total;November;Women;Home;144
Extremadura;Total;November;Women;Health care home;82
Extremadura;Total;November;Women;Other place;3
Extremadura;Total;November;Women;Not specified;15
Extremadura;Total;December;Total;Total;1.085
Extremadura;Total;December;Total;Hospital centre;600
Extremadura;Total;December;Total;Home;301
Extremadura;Total;December;Total;Health care home;123
Extremadura;Total;December;Total;Other place;32
Extremadura;Total;December;Total;Not specified;29
Extremadura;Total;December;Men;Total;570
Extremadura;Total;December;Men;Hospital centre;322
Extremadura;Total;December;Men;Home;156
Extremadura;Total;December;Men;Health care home;54
Extremadura;Total;December;Men;Other place;26
Extremadura;Total;December;Men;Not specified;12
Extremadura;Total;December;Women;Total;515
Extremadura;Total;December;Women;Hospital centre;278
Extremadura;Total;December;Women;Home;145
Extremadura;Total;December;Women;Health care home;69
Extremadura;Total;December;Women;Other place;6
Extremadura;Total;December;Women;Not specified;17
Extremadura;Identified Covid-19 virus;Total;Total;Total;1.099
Extremadura;Identified Covid-19 virus;Total;Total;Hospital centre;860
Extremadura;Identified Covid-19 virus;Total;Total;Home;37
Extremadura;Identified Covid-19 virus;Total;Total;Health care home;183
Extremadura;Identified Covid-19 virus;Total;Total;Other place;..
Extremadura;Identified Covid-19 virus;Total;Total;Not specified;19
Extremadura;Identified Covid-19 virus;Total;Men;Total;568
Extremadura;Identified Covid-19 virus;Total;Men;Hospital centre;466
Extremadura;Identified Covid-19 virus;Total;Men;Home;19
Extremadura;Identified Covid-19 virus;Total;Men;Health care home;73
Extremadura;Identified Covid-19 virus;Total;Men;Other place;..
Extremadura;Identified Covid-19 virus;Total;Men;Not specified;10
Extremadura;Identified Covid-19 virus;Total;Women;Total;531
Extremadura;Identified Covid-19 virus;Total;Women;Hospital centre;394
Extremadura;Identified Covid-19 virus;Total;Women;Home;18
Extremadura;Identified Covid-19 virus;Total;Women;Health care home;110
Extremadura;Identified Covid-19 virus;Total;Women;Other place;..
Extremadura;Identified Covid-19 virus;Total;Women;Not specified;9
Extremadura;Identified Covid-19 virus;January;Total;Total;..
Extremadura;Identified Covid-19 virus;January;Total;Hospital centre;..
Extremadura;Identified Covid-19 virus;January;Total;Home;..
Extremadura;Identified Covid-19 virus;January;Total;Health care home;..
Extremadura;Identified Covid-19 virus;January;Total;Other place;..
Extremadura;Identified Covid-19 virus;January;Total;Not specified;..
Extremadura;Identified Covid-19 virus;January;Men;Total;..
Extremadura;Identified Covid-19 virus;January;Men;Hospital centre;..
Extremadura;Identified Covid-19 virus;January;Men;Home;..
Extremadura;Identified Covid-19 virus;January;Men;Health care home;..
Extremadura;Identified Covid-19 virus;January;Men;Other place;..
Extremadura;Identified Covid-19 virus;January;Men;Not specified;..
Extremadura;Identified Covid-19 virus;January;Women;Total;..
Extremadura;Identified Covid-19 virus;January;Women;Hospital centre;..
Extremadura;Identified Covid-19 virus;January;Women;Home;..
Extremadura;Identified Covid-19 virus;January;Women;Health care home;..
Extremadura;Identified Covid-19 virus;January;Women;Other place;..
Extremadura;Identified Covid-19 virus;January;Women;Not specified;..
Extremadura;Identified Covid-19 virus;February;Total;Total;..
Extremadura;Identified Covid-19 virus;February;Total;Hospital centre;..
Extremadura;Identified Covid-19 virus;February;Total;Home;..
Extremadura;Identified Covid-19 virus;February;Total;Health care home;..
Extremadura;Identified Covid-19 virus;February;Total;Other place;..
Extremadura;Identified Covid-19 virus;February;Total;Not specified;..
Extremadura;Identified Covid-19 virus;February;Men;Total;..
Extremadura;Identified Covid-19 virus;February;Men;Hospital centre;..
Extremadura;Identified Covid-19 virus;February;Men;Home;..
Extremadura;Identified Covid-19 virus;February;Men;Health care home;..
Extremadura;Identified Covid-19 virus;February;Men;Other place;..
Extremadura;Identified Covid-19 virus;February;Men;Not specified;..
Extremadura;Identified Covid-19 virus;February;Women;Total;..
Extremadura;Identified Covid-19 virus;February;Women;Hospital centre;..
Extremadura;Identified Covid-19 virus;February;Women;Home;..
Extremadura;Identified Covid-19 virus;February;Women;Health care home;..
Extremadura;Identified Covid-19 virus;February;Women;Other place;..
Extremadura;Identified Covid-19 virus;February;Women;Not specified;..
Extremadura;Identified Covid-19 virus;March;Total;Total;137
Extremadura;Identified Covid-19 virus;March;Total;Hospital centre;111
Extremadura;Identified Covid-19 virus;March;Total;Home;3
Extremadura;Identified Covid-19 virus;March;Total;Health care home;21
Extremadura;Identified Covid-19 virus;March;Total;Other place;..
Extremadura;Identified Covid-19 virus;March;Total;Not specified;2
Extremadura;Identified Covid-19 virus;March;Men;Total;76
Extremadura;Identified Covid-19 virus;March;Men;Hospital centre;62
Extremadura;Identified Covid-19 virus;March;Men;Home;2
Extremadura;Identified Covid-19 virus;March;Men;Health care home;11
Extremadura;Identified Covid-19 virus;March;Men;Other place;..
Extremadura;Identified Covid-19 virus;March;Men;Not specified;1
Extremadura;Identified Covid-19 virus;March;Women;Total;61
Extremadura;Identified Covid-19 virus;March;Women;Hospital centre;49
Extremadura;Identified Covid-19 virus;March;Women;Home;1
Extremadura;Identified Covid-19 virus;March;Women;Health care home;10
Extremadura;Identified Covid-19 virus;March;Women;Other place;..
Extremadura;Identified Covid-19 virus;March;Women;Not specified;1
Extremadura;Identified Covid-19 virus;April;Total;Total;319
Extremadura;Identified Covid-19 virus;April;Total;Hospital centre;205
Extremadura;Identified Covid-19 virus;April;Total;Home;4
Extremadura;Identified Covid-19 virus;April;Total;Health care home;106
Extremadura;Identified Covid-19 virus;April;Total;Other place;..
Extremadura;Identified Covid-19 virus;April;Total;Not specified;4
Extremadura;Identified Covid-19 virus;April;Men;Total;165
Extremadura;Identified Covid-19 virus;April;Men;Hospital centre;116
Extremadura;Identified Covid-19 virus;April;Men;Home;2
Extremadura;Identified Covid-19 virus;April;Men;Health care home;43
Extremadura;Identified Covid-19 virus;April;Men;Other place;..
Extremadura;Identified Covid-19 virus;April;Men;Not specified;4
Extremadura;Identified Covid-19 virus;April;Women;Total;154
Extremadura;Identified Covid-19 virus;April;Women;Hospital centre;89
Extremadura;Identified Covid-19 virus;April;Women;Home;2
Extremadura;Identified Covid-19 virus;April;Women;Health care home;63
Extremadura;Identified Covid-19 virus;April;Women;Other place;..
Extremadura;Identified Covid-19 virus;April;Women;Not specified;..
Extremadura;Identified Covid-19 virus;May;Total;Total;59
Extremadura;Identified Covid-19 virus;May;Total;Hospital centre;41
Extremadura;Identified Covid-19 virus;May;Total;Home;1
Extremadura;Identified Covid-19 virus;May;Total;Health care home;16
Extremadura;Identified Covid-19 virus;May;Total;Other place;..
Extremadura;Identified Covid-19 virus;May;Total;Not specified;1
Extremadura;Identified Covid-19 virus;May;Men;Total;26
Extremadura;Identified Covid-19 virus;May;Men;Hospital centre;21
Extremadura;Identified Covid-19 virus;May;Men;Home;..
Extremadura;Identified Covid-19 virus;May;Men;Health care home;4
Extremadura;Identified Covid-19 virus;May;Men;Other place;..
Extremadura;Identified Covid-19 virus;May;Men;Not specified;1
Extremadura;Identified Covid-19 virus;May;Women;Total;33
Extremadura;Identified Covid-19 virus;May;Women;Hospital centre;20
Extremadura;Identified Covid-19 virus;May;Women;Home;1
Extremadura;Identified Covid-19 virus;May;Women;Health care home;12
Extremadura;Identified Covid-19 virus;May;Women;Other place;..
Extremadura;Identified Covid-19 virus;May;Women;Not specified;..
Extremadura;Identified Covid-19 virus;June;Total;Total;3
Extremadura;Identified Covid-19 virus;June;Total;Hospital centre;1
Extremadura;Identified Covid-19 virus;June;Total;Home;..
Extremadura;Identified Covid-19 virus;June;Total;Health care home;2
Extremadura;Identified Covid-19 virus;June;Total;Other place;..
Extremadura;Identified Covid-19 virus;June;Total;Not specified;..
Extremadura;Identified Covid-19 virus;June;Men;Total;2
Extremadura;Identified Covid-19 virus;June;Men;Hospital centre;..
Extremadura;Identified Covid-19 virus;June;Men;Home;..
Extremadura;Identified Covid-19 virus;June;Men;Health care home;2
Extremadura;Identified Covid-19 virus;June;Men;Other place;..
Extremadura;Identified Covid-19 virus;June;Men;Not specified;..
Extremadura;Identified Covid-19 virus;June;Women;Total;1
Extremadura;Identified Covid-19 virus;June;Women;Hospital centre;1
Extremadura;Identified Covid-19 virus;June;Women;Home;..
Extremadura;Identified Covid-19 virus;June;Women;Health care home;..
Extremadura;Identified Covid-19 virus;June;Women;Other place;..
Extremadura;Identified Covid-19 virus;June;Women;Not specified;..
Extremadura;Identified Covid-19 virus;July;Total;Total;3
Extremadura;Identified Covid-19 virus;July;Total;Hospital centre;2
Extremadura;Identified Covid-19 virus;July;Total;Home;1
Extremadura;Identified Covid-19 virus;July;Total;Health care home;..
Extremadura;Identified Covid-19 virus;July;Total;Other place;..
Extremadura;Identified Covid-19 virus;July;Total;Not specified;..
Extremadura;Identified Covid-19 virus;July;Men;Total;..
Extremadura;Identified Covid-19 virus;July;Men;Hospital centre;..
Extremadura;Identified Covid-19 virus;July;Men;Home;..
Extremadura;Identified Covid-19 virus;July;Men;Health care home;..
Extremadura;Identified Covid-19 virus;July;Men;Other place;..
Extremadura;Identified Covid-19 virus;July;Men;Not specified;..
Extremadura;Identified Covid-19 virus;July;Women;Total;3
Extremadura;Identified Covid-19 virus;July;Women;Hospital centre;2
Extremadura;Identified Covid-19 virus;July;Women;Home;1
Extremadura;Identified Covid-19 virus;July;Women;Health care home;..
Extremadura;Identified Covid-19 virus;July;Women;Other place;..
Extremadura;Identified Covid-19 virus;July;Women;Not specified;..
Extremadura;Identified Covid-19 virus;August;Total;Total;7
Extremadura;Identified Covid-19 virus;August;Total;Hospital centre;7
Extremadura;Identified Covid-19 virus;August;Total;Home;..
Extremadura;Identified Covid-19 virus;August;Total;Health care home;..
Extremadura;Identified Covid-19 virus;August;Total;Other place;..
Extremadura;Identified Covid-19 virus;August;Total;Not specified;..
Extremadura;Identified Covid-19 virus;August;Men;Total;4
Extremadura;Identified Covid-19 virus;August;Men;Hospital centre;4
Extremadura;Identified Covid-19 virus;August;Men;Home;..
Extremadura;Identified Covid-19 virus;August;Men;Health care home;..
Extremadura;Identified Covid-19 virus;August;Men;Other place;..
Extremadura;Identified Covid-19 virus;August;Men;Not specified;..
Extremadura;Identified Covid-19 virus;August;Women;Total;3
Extremadura;Identified Covid-19 virus;August;Women;Hospital centre;3
Extremadura;Identified Covid-19 virus;August;Women;Home;..
Extremadura;Identified Covid-19 virus;August;Women;Health care home;..
Extremadura;Identified Covid-19 virus;August;Women;Other place;..
Extremadura;Identified Covid-19 virus;August;Women;Not specified;..
Extremadura;Identified Covid-19 virus;September;Total;Total;71
Extremadura;Identified Covid-19 virus;September;Total;Hospital centre;66
Extremadura;Identified Covid-19 virus;September;Total;Home;1
Extremadura;Identified Covid-19 virus;September;Total;Health care home;2
Extremadura;Identified Covid-19 virus;September;Total;Other place;..
Extremadura;Identified Covid-19 virus;September;Total;Not specified;2
Extremadura;Identified Covid-19 virus;September;Men;Total;35
Extremadura;Identified Covid-19 virus;September;Men;Hospital centre;33
Extremadura;Identified Covid-19 virus;September;Men;Home;..
Extremadura;Identified Covid-19 virus;September;Men;Health care home;1
Extremadura;Identified Covid-19 virus;September;Men;Other place;..
Extremadura;Identified Covid-19 virus;September;Men;Not specified;1
Extremadura;Identified Covid-19 virus;September;Women;Total;36
Extremadura;Identified Covid-19 virus;September;Women;Hospital centre;33
Extremadura;Identified Covid-19 virus;September;Women;Home;1
Extremadura;Identified Covid-19 virus;September;Women;Health care home;1
Extremadura;Identified Covid-19 virus;September;Women;Other place;..
Extremadura;Identified Covid-19 virus;September;Women;Not specified;1
Extremadura;Identified Covid-19 virus;October;Total;Total;147
Extremadura;Identified Covid-19 virus;October;Total;Hospital centre;126
Extremadura;Identified Covid-19 virus;October;Total;Home;6
Extremadura;Identified Covid-19 virus;October;Total;Health care home;11
Extremadura;Identified Covid-19 virus;October;Total;Other place;..
Extremadura;Identified Covid-19 virus;October;Total;Not specified;4
Extremadura;Identified Covid-19 virus;October;Men;Total;81
Extremadura;Identified Covid-19 virus;October;Men;Hospital centre;69
Extremadura;Identified Covid-19 virus;October;Men;Home;5
Extremadura;Identified Covid-19 virus;October;Men;Health care home;5
Extremadura;Identified Covid-19 virus;October;Men;Other place;..
Extremadura;Identified Covid-19 virus;October;Men;Not specified;2
Extremadura;Identified Covid-19 virus;October;Women;Total;66
Extremadura;Identified Covid-19 virus;October;Women;Hospital centre;57
Extremadura;Identified Covid-19 virus;October;Women;Home;1
Extremadura;Identified Covid-19 virus;October;Women;Health care home;6
Extremadura;Identified Covid-19 virus;October;Women;Other place;..
Extremadura;Identified Covid-19 virus;October;Women;Not specified;2
Extremadura;Identified Covid-19 virus;November;Total;Total;235
Extremadura;Identified Covid-19 virus;November;Total;Hospital centre;201
Extremadura;Identified Covid-19 virus;November;Total;Home;17
Extremadura;Identified Covid-19 virus;November;Total;Health care home;12
Extremadura;Identified Covid-19 virus;November;Total;Other place;..
Extremadura;Identified Covid-19 virus;November;Total;Not specified;5
Extremadura;Identified Covid-19 virus;November;Men;Total;122
Extremadura;Identified Covid-19 virus;November;Men;Hospital centre;110
Extremadura;Identified Covid-19 virus;November;Men;Home;8
Extremadura;Identified Covid-19 virus;November;Men;Health care home;3
Extremadura;Identified Covid-19 virus;November;Men;Other place;..
Extremadura;Identified Covid-19 virus;November;Men;Not specified;1
Extremadura;Identified Covid-19 virus;November;Women;Total;113
Extremadura;Identified Covid-19 virus;November;Women;Hospital centre;91
Extremadura;Identified Covid-19 virus;November;Women;Home;9
Extremadura;Identified Covid-19 virus;November;Women;Health care home;9
Extremadura;Identified Covid-19 virus;November;Women;Other place;..
Extremadura;Identified Covid-19 virus;November;Women;Not specified;4
Extremadura;Identified Covid-19 virus;December;Total;Total;118
Extremadura;Identified Covid-19 virus;December;Total;Hospital centre;100
Extremadura;Identified Covid-19 virus;December;Total;Home;4
Extremadura;Identified Covid-19 virus;December;Total;Health care home;13
Extremadura;Identified Covid-19 virus;December;Total;Other place;..
Extremadura;Identified Covid-19 virus;December;Total;Not specified;1
Extremadura;Identified Covid-19 virus;December;Men;Total;57
Extremadura;Identified Covid-19 virus;December;Men;Hospital centre;51
Extremadura;Identified Covid-19 virus;December;Men;Home;2
Extremadura;Identified Covid-19 virus;December;Men;Health care home;4
Extremadura;Identified Covid-19 virus;December;Men;Other place;..
Extremadura;Identified Covid-19 virus;December;Men;Not specified;..
Extremadura;Identified Covid-19 virus;December;Women;Total;61
Extremadura;Identified Covid-19 virus;December;Women;Hospital centre;49
Extremadura;Identified Covid-19 virus;December;Women;Home;2
Extremadura;Identified Covid-19 virus;December;Women;Health care home;9
Extremadura;Identified Covid-19 virus;December;Women;Other place;..
Extremadura;Identified Covid-19 virus;December;Women;Not specified;1
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Total;Total;290
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Total;Hospital centre;138
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Total;Home;30
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Total;Health care home;117
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Total;Other place;2
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Total;Not specified;3
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Men;Total;131
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Men;Hospital centre;67
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Men;Home;16
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Men;Health care home;46
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Men;Other place;1
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Men;Not specified;1
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Women;Total;159
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Women;Hospital centre;71
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Women;Home;14
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Women;Health care home;71
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Women;Other place;1
Extremadura;Unidentified (suspected) COVID-19 virus;Total;Women;Not specified;2
Extremadura;Unidentified (suspected) COVID-19 virus;January;Total;Total;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Total;Hospital centre;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Total;Home;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Total;Health care home;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Total;Other place;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Total;Not specified;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Men;Total;..
Extremadura;Unidentified (suspected) COVID-19 virus;January;Men;Hospital centre;..
