Autonomous city and community of death;Covid-19;Month of death;Gender;Place of death;Total
National total;Identified Covid-19 virus;Total;Women;Not specified;461
National total;Identified Covid-19 virus;January;Total;Total;..
National total;Identified Covid-19 virus;January;Total;Hospital centre;..
National total;Identified Covid-19 virus;January;Total;Home;..
National total;Identified Covid-19 virus;January;Total;Health care home;..
National total;Identified Covid-19 virus;January;Total;Other place;..
National total;Identified Covid-19 virus;January;Total;Not specified;..
National total;Identified Covid-19 virus;January;Men;Total;..
National total;Identified Covid-19 virus;January;Men;Hospital centre;..
National total;Identified Covid-19 virus;January;Men;Home;..
National total;Identified Covid-19 virus;January;Men;Health care home;..
National total;Identified Covid-19 virus;January;Men;Other place;..
National total;Identified Covid-19 virus;January;Men;Not specified;..
National total;Identified Covid-19 virus;January;Women;Total;..
National total;Identified Covid-19 virus;January;Women;Hospital centre;..
National total;Identified Covid-19 virus;January;Women;Home;..
National total;Identified Covid-19 virus;January;Women;Health care home;..
National total;Identified Covid-19 virus;January;Women;Other place;..
National total;Identified Covid-19 virus;January;Women;Not specified;..
National total;Identified Covid-19 virus;February;Total;Total;..
National total;Identified Covid-19 virus;February;Total;Hospital centre;..
National total;Identified Covid-19 virus;February;Total;Home;..
National total;Identified Covid-19 virus;February;Total;Health care home;..
National total;Identified Covid-19 virus;February;Total;Other place;..
National total;Identified Covid-19 virus;February;Total;Not specified;..
National total;Identified Covid-19 virus;February;Men;Total;..
National total;Identified Covid-19 virus;February;Men;Hospital centre;..
National total;Identified Covid-19 virus;February;Men;Home;..
National total;Identified Covid-19 virus;February;Men;Health care home;..
National total;Identified Covid-19 virus;February;Men;Other place;..
National total;Identified Covid-19 virus;February;Men;Not specified;..
National total;Identified Covid-19 virus;February;Women;Total;..
National total;Identified Covid-19 virus;February;Women;Hospital centre;..
National total;Identified Covid-19 virus;February;Women;Home;..
National total;Identified Covid-19 virus;February;Women;Health care home;..
National total;Identified Covid-19 virus;February;Women;Other place;..
National total;Identified Covid-19 virus;February;Women;Not specified;..
National total;Identified Covid-19 virus;March;Total;Total;11.313
National total;Identified Covid-19 virus;March;Total;Hospital centre;9.663
National total;Identified Covid-19 virus;March;Total;Home;420
National total;Identified Covid-19 virus;March;Total;Health care home;994
National total;Identified Covid-19 virus;March;Total;Other place;7
National total;Identified Covid-19 virus;March;Total;Not specified;229
National total;Identified Covid-19 virus;March;Men;Total;6.918
National total;Identified Covid-19 virus;March;Men;Hospital centre;6.138
National total;Identified Covid-19 virus;March;Men;Home;245
National total;Identified Covid-19 virus;March;Men;Health care home;401
National total;Identified Covid-19 virus;March;Men;Other place;3
National total;Identified Covid-19 virus;March;Men;Not specified;131
National total;Identified Covid-19 virus;March;Women;Total;4.395
National total;Identified Covid-19 virus;March;Women;Hospital centre;3.525
National total;Identified Covid-19 virus;March;Women;Home;175
National total;Identified Covid-19 virus;March;Women;Health care home;593
National total;Identified Covid-19 virus;March;Women;Other place;4
National total;Identified Covid-19 virus;March;Women;Not specified;98
National total;Identified Covid-19 virus;April;Total;Total;18.252
National total;Identified Covid-19 virus;April;Total;Hospital centre;12.691
National total;Identified Covid-19 virus;April;Total;Home;353
National total;Identified Covid-19 virus;April;Total;Health care home;4.833
National total;Identified Covid-19 virus;April;Total;Other place;18
National total;Identified Covid-19 virus;April;Total;Not specified;357
National total;Identified Covid-19 virus;April;Men;Total;9.320
National total;Identified Covid-19 virus;April;Men;Hospital centre;7.254
National total;Identified Covid-19 virus;April;Men;Home;169
National total;Identified Covid-19 virus;April;Men;Health care home;1.698
National total;Identified Covid-19 virus;April;Men;Other place;7
National total;Identified Covid-19 virus;April;Men;Not specified;192
National total;Identified Covid-19 virus;April;Women;Total;8.932
National total;Identified Covid-19 virus;April;Women;Hospital centre;5.437
National total;Identified Covid-19 virus;April;Women;Home;184
National total;Identified Covid-19 virus;April;Women;Health care home;3.135
National total;Identified Covid-19 virus;April;Women;Other place;11
National total;Identified Covid-19 virus;April;Women;Not specified;165
National total;Identified Covid-19 virus;May;Total;Total;3.219
National total;Identified Covid-19 virus;May;Total;Hospital centre;2.223
National total;Identified Covid-19 virus;May;Total;Home;73
National total;Identified Covid-19 virus;May;Total;Health care home;870
National total;Identified Covid-19 virus;May;Total;Other place;8
National total;Identified Covid-19 virus;May;Total;Not specified;45
National total;Identified Covid-19 virus;May;Men;Total;1.510
National total;Identified Covid-19 virus;May;Men;Hospital centre;1.209
National total;Identified Covid-19 virus;May;Men;Home;32
National total;Identified Covid-19 virus;May;Men;Health care home;239
National total;Identified Covid-19 virus;May;Men;Other place;5
National total;Identified Covid-19 virus;May;Men;Not specified;25
National total;Identified Covid-19 virus;May;Women;Total;1.709
National total;Identified Covid-19 virus;May;Women;Hospital centre;1.014
National total;Identified Covid-19 virus;May;Women;Home;41
National total;Identified Covid-19 virus;May;Women;Health care home;631
National total;Identified Covid-19 virus;May;Women;Other place;3
National total;Identified Covid-19 virus;May;Women;Not specified;20
National total;Identified Covid-19 virus;June;Total;Total;528
National total;Identified Covid-19 virus;June;Total;Hospital centre;380
National total;Identified Covid-19 virus;June;Total;Home;20
National total;Identified Covid-19 virus;June;Total;Health care home;122
National total;Identified Covid-19 virus;June;Total;Other place;..
National total;Identified Covid-19 virus;June;Total;Not specified;6
National total;Identified Covid-19 virus;June;Men;Total;281
National total;Identified Covid-19 virus;June;Men;Hospital centre;224
National total;Identified Covid-19 virus;June;Men;Home;9
National total;Identified Covid-19 virus;June;Men;Health care home;43
National total;Identified Covid-19 virus;June;Men;Other place;..
National total;Identified Covid-19 virus;June;Men;Not specified;5
National total;Identified Covid-19 virus;June;Women;Total;247
National total;Identified Covid-19 virus;June;Women;Hospital centre;156
National total;Identified Covid-19 virus;June;Women;Home;11
National total;Identified Covid-19 virus;June;Women;Health care home;79
National total;Identified Covid-19 virus;June;Women;Other place;..
National total;Identified Covid-19 virus;June;Women;Not specified;1
National total;Identified Covid-19 virus;July;Total;Total;329
National total;Identified Covid-19 virus;July;Total;Hospital centre;231
National total;Identified Covid-19 virus;July;Total;Home;20
National total;Identified Covid-19 virus;July;Total;Health care home;67
National total;Identified Covid-19 virus;July;Total;Other place;1
National total;Identified Covid-19 virus;July;Total;Not specified;10
National total;Identified Covid-19 virus;July;Men;Total;158
National total;Identified Covid-19 virus;July;Men;Hospital centre;127
National total;Identified Covid-19 virus;July;Men;Home;8
National total;Identified Covid-19 virus;July;Men;Health care home;20
National total;Identified Covid-19 virus;July;Men;Other place;..
National total;Identified Covid-19 virus;July;Men;Not specified;3
National total;Identified Covid-19 virus;July;Women;Total;171
National total;Identified Covid-19 virus;July;Women;Hospital centre;104
National total;Identified Covid-19 virus;July;Women;Home;12
National total;Identified Covid-19 virus;July;Women;Health care home;47
National total;Identified Covid-19 virus;July;Women;Other place;1
National total;Identified Covid-19 virus;July;Women;Not specified;7
National total;Identified Covid-19 virus;August;Total;Total;1.281
National total;Identified Covid-19 virus;August;Total;Hospital centre;1.070
National total;Identified Covid-19 virus;August;Total;Home;50
National total;Identified Covid-19 virus;August;Total;Health care home;136
National total;Identified Covid-19 virus;August;Total;Other place;4
National total;Identified Covid-19 virus;August;Total;Not specified;21
National total;Identified Covid-19 virus;August;Men;Total;637
National total;Identified Covid-19 virus;August;Men;Hospital centre;568
National total;Identified Covid-19 virus;August;Men;Home;27
National total;Identified Covid-19 virus;August;Men;Health care home;34
National total;Identified Covid-19 virus;August;Men;Other place;2
National total;Identified Covid-19 virus;August;Men;Not specified;6
National total;Identified Covid-19 virus;August;Women;Total;644
National total;Identified Covid-19 virus;August;Women;Hospital centre;502
National total;Identified Covid-19 virus;August;Women;Home;23
National total;Identified Covid-19 virus;August;Women;Health care home;102
National total;Identified Covid-19 virus;August;Women;Other place;2
National total;Identified Covid-19 virus;August;Women;Not specified;15
National total;Identified Covid-19 virus;September;Total;Total;3.455
National total;Identified Covid-19 virus;September;Total;Hospital centre;2.982
National total;Identified Covid-19 virus;September;Total;Home;148
National total;Identified Covid-19 virus;September;Total;Health care home;291
National total;Identified Covid-19 virus;September;Total;Other place;3
National total;Identified Covid-19 virus;September;Total;Not specified;31
National total;Identified Covid-19 virus;September;Men;Total;1.882
National total;Identified Covid-19 virus;September;Men;Hospital centre;1.701
National total;Identified Covid-19 virus;September;Men;Home;77
National total;Identified Covid-19 virus;September;Men;Health care home;89
National total;Identified Covid-19 virus;September;Men;Other place;2
National total;Identified Covid-19 virus;September;Men;Not specified;13
National total;Identified Covid-19 virus;September;Women;Total;1.573
National total;Identified Covid-19 virus;September;Women;Hospital centre;1.281
National total;Identified Covid-19 virus;September;Women;Home;71
National total;Identified Covid-19 virus;September;Women;Health care home;202
National total;Identified Covid-19 virus;September;Women;Other place;1
National total;Identified Covid-19 virus;September;Women;Not specified;18
National total;Identified Covid-19 virus;October;Total;Total;5.905
National total;Identified Covid-19 virus;October;Total;Hospital centre;4.968
National total;Identified Covid-19 virus;October;Total;Home;252
National total;Identified Covid-19 virus;October;Total;Health care home;606
National total;Identified Covid-19 virus;October;Total;Other place;7
National total;Identified Covid-19 virus;October;Total;Not specified;72
National total;Identified Covid-19 virus;October;Men;Total;3.176
National total;Identified Covid-19 virus;October;Men;Hospital centre;2.803
National total;Identified Covid-19 virus;October;Men;Home;134
National total;Identified Covid-19 virus;October;Men;Health care home;202
National total;Identified Covid-19 virus;October;Men;Other place;3
National total;Identified Covid-19 virus;October;Men;Not specified;34
National total;Identified Covid-19 virus;October;Women;Total;2.729
National total;Identified Covid-19 virus;October;Women;Hospital centre;2.165
National total;Identified Covid-19 virus;October;Women;Home;118
National total;Identified Covid-19 virus;October;Women;Health care home;404
National total;Identified Covid-19 virus;October;Women;Other place;4
National total;Identified Covid-19 virus;October;Women;Not specified;38
National total;Identified Covid-19 virus;November;Total;Total;9.891
National total;Identified Covid-19 virus;November;Total;Hospital centre;7.985
National total;Identified Covid-19 virus;November;Total;Home;473
National total;Identified Covid-19 virus;November;Total;Health care home;1.284
National total;Identified Covid-19 virus;November;Total;Other place;15
National total;Identified Covid-19 virus;November;Total;Not specified;134
National total;Identified Covid-19 virus;November;Men;Total;5.313
National total;Identified Covid-19 virus;November;Men;Hospital centre;4.563
National total;Identified Covid-19 virus;November;Men;Home;233
National total;Identified Covid-19 virus;November;Men;Health care home;440
National total;Identified Covid-19 virus;November;Men;Other place;9
National total;Identified Covid-19 virus;November;Men;Not specified;68
National total;Identified Covid-19 virus;November;Women;Total;4.578
National total;Identified Covid-19 virus;November;Women;Hospital centre;3.422
National total;Identified Covid-19 virus;November;Women;Home;240
National total;Identified Covid-19 virus;November;Women;Health care home;844
National total;Identified Covid-19 virus;November;Women;Other place;6
National total;Identified Covid-19 virus;November;Women;Not specified;66
National total;Identified Covid-19 virus;December;Total;Total;6.185
National total;Identified Covid-19 virus;December;Total;Hospital centre;5.014
National total;Identified Covid-19 virus;December;Total;Home;299
National total;Identified Covid-19 virus;December;Total;Health care home;807
National total;Identified Covid-19 virus;December;Total;Other place;7
National total;Identified Covid-19 virus;December;Total;Not specified;58
National total;Identified Covid-19 virus;December;Men;Total;3.303
National total;Identified Covid-19 virus;December;Men;Hospital centre;2.855
National total;Identified Covid-19 virus;December;Men;Home;148
National total;Identified Covid-19 virus;December;Men;Health care home;274
National total;Identified Covid-19 virus;December;Men;Other place;1
National total;Identified Covid-19 virus;December;Men;Not specified;25
National total;Identified Covid-19 virus;December;Women;Total;2.882
National total;Identified Covid-19 virus;December;Women;Hospital centre;2.159
National total;Identified Covid-19 virus;December;Women;Home;151
National total;Identified Covid-19 virus;December;Women;Health care home;533
National total;Identified Covid-19 virus;December;Women;Other place;6
National total;Identified Covid-19 virus;December;Women;Not specified;33
National total;Unidentified (suspected) COVID-19 virus;Total;Total;Total;14.481
National total;Unidentified (suspected) COVID-19 virus;Total;Total;Hospital centre;4.814
National total;Unidentified (suspected) COVID-19 virus;Total;Total;Home;1.922
National total;Unidentified (suspected) COVID-19 virus;Total;Total;Health care home;7.339
National total;Unidentified (suspected) COVID-19 virus;Total;Total;Other place;71
National total;Unidentified (suspected) COVID-19 virus;Total;Total;Not specified;335
National total;Unidentified (suspected) COVID-19 virus;Total;Men;Total;6.419
National total;Unidentified (suspected) COVID-19 virus;Total;Men;Hospital centre;2.605
National total;Unidentified (suspected) COVID-19 virus;Total;Men;Home;1.021
National total;Unidentified (suspected) COVID-19 virus;Total;Men;Health care home;2.600
National total;Unidentified (suspected) COVID-19 virus;Total;Men;Other place;34
National total;Unidentified (suspected) COVID-19 virus;Total;Men;Not specified;159
National total;Unidentified (suspected) COVID-19 virus;Total;Women;Total;8.062
National total;Unidentified (suspected) COVID-19 virus;Total;Women;Hospital centre;2.209
National total;Unidentified (suspected) COVID-19 virus;Total;Women;Home;901
National total;Unidentified (suspected) COVID-19 virus;Total;Women;Health care home;4.739
National total;Unidentified (suspected) COVID-19 virus;Total;Women;Other place;37
National total;Unidentified (suspected) COVID-19 virus;Total;Women;Not specified;176
National total;Unidentified (suspected) COVID-19 virus;January;Total;Total;..
National total;Unidentified (suspected) COVID-19 virus;January;Total;Hospital centre;..
National total;Unidentified (suspected) COVID-19 virus;January;Total;Home;..
National total;Unidentified (suspected) COVID-19 virus;January;Total;Health care home;..
National total;Unidentified (suspected) COVID-19 virus;January;Total;Other place;..
National total;Unidentified (suspected) COVID-19 virus;January;Total;Not specified;..
National total;Unidentified (suspected) COVID-19 virus;January;Men;Total;..
National total;Unidentified (suspected) COVID-19 virus;January;Men;Hospital centre;..
National total;Unidentified (suspected) COVID-19 virus;January;Men;Home;..
National total;Unidentified (suspected) COVID-19 virus;January;Men;Health care home;..
National total;Unidentified (suspected) COVID-19 virus;January;Men;Other place;..
National total;Unidentified (suspected) COVID-19 virus;January;Men;Not specified;..
National total;Unidentified (suspected) COVID-19 virus;January;Women;Total;..
National total;Unidentified (suspected) COVID-19 virus;January;Women;Hospital centre;..
National total;Unidentified (suspected) COVID-19 virus;January;Women;Home;..
National total;Unidentified (suspected) COVID-19 virus;January;Women;Health care home;..
National total;Unidentified (suspected) COVID-19 virus;January;Women;Other place;..
National total;Unidentified (suspected) COVID-19 virus;January;Women;Not specified;..
National total;Unidentified (suspected) COVID-19 virus;February;Total;Total;..
National total;Unidentified (suspected) COVID-19 virus;February;Total;Hospital centre;..
National total;Unidentified (suspected) COVID-19 virus;February;Total;Home;..
National total;Unidentified (suspected) COVID-19 virus;February;Total;Health care home;..
National total;Unidentified (suspected) COVID-19 virus;February;Total;Other place;..
National total;Unidentified (suspected) COVID-19 virus;February;Total;Not specified;..
National total;Unidentified (suspected) COVID-19 virus;February;Men;Total;..
National total;Unidentified (suspected) COVID-19 virus;February;Men;Hospital centre;..
National total;Unidentified (suspected) COVID-19 virus;February;Men;Home;..
National total;Unidentified (suspected) COVID-19 virus;February;Men;Health care home;..
National total;Unidentified (suspected) COVID-19 virus;February;Men;Other place;..
National total;Unidentified (suspected) COVID-19 virus;February;Men;Not specified;..
National total;Unidentified (suspected) COVID-19 virus;February;Women;Total;..
National total;Unidentified (suspected) COVID-19 virus;February;Women;Hospital centre;..
National total;Unidentified (suspected) COVID-19 virus;February;Women;Home;..
National total;Unidentified (suspected) COVID-19 virus;February;Women;Health care home;..
National total;Unidentified (suspected) COVID-19 virus;February;Women;Other place;..
National total;Unidentified (suspected) COVID-19 virus;February;Women;Not specified;..
National total;Unidentified (suspected) COVID-19 virus;March;Total;Total;4.217
National total;Unidentified (suspected) COVID-19 virus;March;Total;Hospital centre;1.309
National total;Unidentified (suspected) COVID-19 virus;March;Total;Home;650
National total;Unidentified (suspected) COVID-19 virus;March;Total;Health care home;2.127
National total;Unidentified (suspected) COVID-19 virus;March;Total;Other place;17
National total;Unidentified (suspected) COVID-19 virus;March;Total;Not specified;114
National total;Unidentified (suspected) COVID-19 virus;March;Men;Total;2.038
National total;Unidentified (suspected) COVID-19 virus;March;Men;Hospital centre;760
National total;Unidentified (suspected) COVID-19 virus;March;Men;Home;351
National total;Unidentified (suspected) COVID-19 virus;March;Men;Health care home;856
National total;Unidentified (suspected) COVID-19 virus;March;Men;Other place;11
National total;Unidentified (suspected) COVID-19 virus;March;Men;Not specified;60
National total;Unidentified (suspected) COVID-19 virus;March;Women;Total;2.179
National total;Unidentified (suspected) COVID-19 virus;March;Women;Hospital centre;549
National total;Unidentified (suspected) COVID-19 virus;March;Women;Home;299
National total;Unidentified (suspected) COVID-19 virus;March;Women;Health care home;1.271
National total;Unidentified (suspected) COVID-19 virus;March;Women;Other place;6
National total;Unidentified (suspected) COVID-19 virus;March;Women;Not specified;54
National total;Unidentified (suspected) COVID-19 virus;April;Total;Total;8.236
National total;Unidentified (suspected) COVID-19 virus;April;Total;Hospital centre;2.208
National total;Unidentified (suspected) COVID-19 virus;April;Total;Home;906
National total;Unidentified (suspected) COVID-19 virus;April;Total;Health care home;4.901
National total;Unidentified (suspected) COVID-19 virus;April;Total;Other place;42
National total;Unidentified (suspected) COVID-19 virus;April;Total;Not specified;179
National total;Unidentified (suspected) COVID-19 virus;April;Men;Total;3.371
National total;Unidentified (suspected) COVID-19 virus;April;Men;Hospital centre;1.161
National total;Unidentified (suspected) COVID-19 virus;April;Men;Home;468
National total;Unidentified (suspected) COVID-19 virus;April;Men;Health care home;1.649
National total;Unidentified (suspected) COVID-19 virus;April;Men;Other place;18
National total;Unidentified (suspected) COVID-19 virus;April;Men;Not specified;75
National total;Unidentified (suspected) COVID-19 virus;April;Women;Total;4.865
National total;Unidentified (suspected) COVID-19 virus;April;Women;Hospital centre;1.047
National total;Unidentified (suspected) COVID-19 virus;April;Women;Home;438
National total;Unidentified (suspected) COVID-19 virus;April;Women;Health care home;3.252
National total;Unidentified (suspected) COVID-19 virus;April;Women;Other place;24
National total;Unidentified (suspected) COVID-19 virus;April;Women;Not specified;104
